Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Peas,231,575,Vegetarian,Nuts,58,8.48,0.56,26.44,Dinner
Raspberries,68,399,Vegetarian,Gluten,43,19.83,8.9,40.03,Breakfast
Papaya,342,384,Vegetarian,None,93,46.67,42.27,23.98,Dinner
Radishes,174,169,Vegetarian,Gluten,53,9.38,42.27,16.33,Lunch
Corn,174,557,Vegetarian,Dairy,48,19.19,80.47,42.88,Snack
Oat Milk,68,692,Vegetarian,Gluten,15,2.68,8.77,16.33,Snack
Almonds,198,384,Vegetarian,Gluten,29,11.62,45.45,28.8,Breakfast
Yams,428,622,Vegetarian,Shellfish,15,15.87,87.26,6.62,Snack
Brazil Nuts,239,445,Vegetarian,Dairy,29,19.11,41.39,13.39,Breakfast
Brazil Nuts,71,133,Vegetarian,Shellfish,21,39.18,61.67,12.48,Breakfast
Walnuts,340,259,Vegetarian,Dairy,55,19.11,55.33,30.15,Lunch
Rice,124,315,Vegetarian,Dairy,32,28.47,35.73,12.69,Snack
Brazil Nuts,294,606,Vegetarian,Nuts,23,35.95,69.92,18.81,Breakfast
Macadamia,419,612,Vegetarian,None,54,39.32,37.96,0.89,Breakfast
Garlic,403,213,Vegetarian,None,38,12.89,33.94,17.28,Dinner
Brazil Nuts,428,284,Vegetarian,None,54,41.54,31.62,12.48,Snack
Beetroot,428,575,Vegetarian,Dairy,27,22.55,37.02,23.51,Lunch
Cauliflower,449,238,Vegetarian,Gluten,23,11.94,53.8,10.93,Dinner
Blueberries,124,622,Vegetarian,Gluten,12,41.64,47.33,6.62,Breakfast
Yogurt,168,179,Vegetarian,Shellfish,71,46.67,37.02,20.59,Snack
Potatoes,403,564,Vegetarian,Nuts,24,25.15,70.21,17.93,Dinner
Corn,231,671,Vegetarian,None,63,19.19,97.12,10.49,Breakfast
Apples,253,474,Vegetarian,Dairy,72,48.14,47.33,17.28,Snack
Apricots,174,227,Vegetarian,Dairy,72,15.91,70.43,33.47,Dinner
Mushrooms,298,650,Vegetarian,Gluten,18,19.11,34.29,24.78,Breakfast
Nectarines,147,399,Vegetarian,None,20,26.74,28.31,20.59,Dinner
Beef,298,520,Non-Vegetarian,Gluten,27,19.19,80.47,6.44,Lunch
Pecans,403,133,Vegetarian,Shellfish,10,2.68,53.8,35.86,Lunch
Papaya,174,86,Vegetarian,Gluten,50,16.71,47.33,38.9,Snack
Peanuts,333,238,Vegetarian,Nuts,98,34.87,67.69,1.84,Breakfast
Brazil Nuts,202,315,Vegetarian,Nuts,54,18.93,96.73,20.59,Breakfast
Turkey,294,616,Non-Vegetarian,Gluten,59,5.73,47.33,49.9,Breakfast
Duck,222,692,Non-Vegetarian,Gluten,86,45.04,48.79,32.97,Breakfast
Onions,207,619,Vegetarian,Nuts,78,41.54,93.7,38.93,Lunch
Rice,70,156,Vegetarian,Shellfish,59,25.33,78.53,40.94,Lunch
Coconut Milk,298,175,Vegetarian,Shellfish,72,21.52,45.79,38.9,Lunch
Quinoa,142,375,Vegetarian,Shellfish,15,34.7,48.79,49.9,Lunch
Cream,178,557,Vegetarian,Dairy,58,33.12,88.15,35.88,Snack
Cucumber,269,147,Vegetarian,Shellfish,64,32.79,8.9,32.97,Breakfast
Shrimp,198,288,Non-Vegetarian,Shellfish,15,16.23,76.48,23.12,Breakfast
Chickpeas,312,416,Vegetarian,Gluten,49,15.22,37.96,37.31,Dinner
Turkey,285,147,Non-Vegetarian,Dairy,53,3.56,22.12,38.38,Breakfast
Beetroot,421,243,Vegetarian,Gluten,50,41.67,37.96,28.8,Breakfast
Chickpeas,451,360,Vegetarian,Shellfish,79,28.89,78.02,7.68,Lunch
Cream,236,513,Vegetarian,Shellfish,87,25.03,75.85,17.93,Snack
Pineapple,447,619,Vegetarian,Gluten,21,22.55,78.04,23.31,Breakfast
Cantaloupe,236,360,Vegetarian,None,26,1.6,28.31,27.13,Breakfast
Scallions,138,306,Vegetarian,Dairy,59,20.98,18.2,12.84,Snack
Nuts,198,575,Vegetarian,Nuts,44,22.55,69.92,38.9,Breakfast
Duck,239,513,Non-Vegetarian,None,49,47.53,54.96,38.81,Snack
Pumpkin,193,664,Vegetarian,Shellfish,93,21.08,39.41,12.56,Dinner
Shrimp,213,435,Non-Vegetarian,None,15,20.98,93.48,35.73,Breakfast
Papaya,453,243,Vegetarian,Gluten,41,27.65,89.74,12.48,Lunch
Raspberries,213,384,Vegetarian,None,64,2.68,89.74,37.72,Lunch
Sweet Potatoes,281,619,Vegetarian,None,59,46.53,78.04,37.72,Snack
Strawberries,453,536,Vegetarian,Shellfish,21,3.45,37.02,24.78,Lunch
Seitan,263,361,Vegetarian,Dairy,15,19.11,50.43,47.79,Snack
Soy Milk,200,414,Vegetarian,Gluten,21,25.03,73.93,38.81,Snack
Beans,428,514,Vegetarian,Dairy,27,21.52,46.24,19.06,Breakfast
Leeks,283,612,Vegetarian,Shellfish,59,35.08,96.73,38.81,Lunch
Broccoli,138,318,Vegetarian,Shellfish,44,9.38,0.56,23.98,Dinner
Yogurt,340,287,Vegetarian,Nuts,92,34.25,64.62,23.12,Dinner
Shrimp,419,54,Non-Vegetarian,Shellfish,21,33.12,92.11,16.33,Lunch
Spinach,174,612,Vegetarian,Dairy,77,3.99,33.94,30.15,Lunch
Oat,342,287,Vegetarian,Dairy,67,21.08,69.92,10.61,Lunch
Broccoli,181,469,Vegetarian,None,17,21.52,89.42,6.62,Snack
Macadamia,200,532,Vegetarian,None,27,20.98,64.65,14.36,Breakfast
Mutton,213,227,Non-Vegetarian,Dairy,21,3.51,35.38,33.82,Snack
Beef,298,670,Non-Vegetarian,None,71,40.52,56.39,19.06,Snack
Walnuts,94,435,Vegetarian,None,22,48.14,96.73,28.6,Breakfast
Peanuts,453,346,Vegetarian,Shellfish,59,27.45,87.67,14.17,Breakfast
Kiwi,340,416,Vegetarian,Gluten,96,10.26,88.15,38.9,Breakfast
Blueberries,453,606,Vegetarian,None,23,20.98,26.0,47.47,Dinner
Zucchini,66,612,Vegetarian,Gluten,44,5.73,76.46,23.51,Snack
Turkey,269,179,Non-Vegetarian,Nuts,88,15.22,31.14,10.93,Breakfast
Chickpeas,453,556,Vegetarian,Nuts,12,35.3,64.62,26.44,Snack
Lamb,405,619,Non-Vegetarian,Gluten,67,15.87,55.33,38.93,Snack
Garlic,281,438,Vegetarian,Nuts,88,20.98,56.73,35.86,Dinner
Kale,397,399,Vegetarian,Gluten,22,35.61,26.0,16.68,Lunch
Duck,92,284,Non-Vegetarian,Gluten,99,11.62,79.59,15.52,Dinner
Coconut Milk,327,371,Vegetarian,Shellfish,82,33.96,37.89,6.44,Breakfast
Beetroot,67,474,Vegetarian,None,18,3.56,21.8,10.61,Breakfast
Yams,447,520,Vegetarian,None,66,35.61,8.77,32.24,Lunch
Pumpkin,281,346,Vegetarian,None,48,24.52,92.11,46.9,Lunch
Cream,467,169,Vegetarian,Dairy,59,3.29,64.62,16.33,Breakfast
Coconut Milk,364,217,Vegetarian,Dairy,75,6.23,48.29,35.73,Lunch
Rice Milk,385,288,Vegetarian,Nuts,44,8.48,50.43,22.65,Breakfast
Rice,162,584,Vegetarian,Nuts,24,2.1,74.31,28.42,Dinner
Watermelon,403,147,Vegetarian,Nuts,23,34.87,20.3,26.44,Lunch
Almonds,160,234,Vegetarian,Shellfish,59,12.51,73.93,12.56,Snack
Walnuts,230,287,Vegetarian,Gluten,82,37.93,43.46,14.36,Lunch
Jalapenos,318,287,Vegetarian,None,44,46.53,45.79,28.42,Snack
Egg,385,650,Non-Vegetarian,Nuts,24,44.65,88.15,14.36,Breakfast
Shallots,394,557,Vegetarian,Gluten,59,24.11,78.02,26.44,Lunch
Cherries,364,430,Vegetarian,None,77,28.47,76.48,7.29,Dinner
Grapes,229,575,Vegetarian,Nuts,21,46.53,8.9,28.6,Dinner
Broccoli,451,301,Vegetarian,Gluten,88,35.95,65.18,30.15,Lunch
Leeks,92,438,Vegetarian,None,21,19.83,61.67,30.15,Snack
Spinach,67,156,Vegetarian,None,57,43.4,73.93,31.39,Breakfast
Kiwi,216,615,Vegetarian,Nuts,21,22.55,44.23,25.01,Breakfast
Brazil Nuts,154,615,Vegetarian,Dairy,64,27.65,35.38,14.36,Lunch
Lamb,70,512,Non-Vegetarian,Gluten,27,28.47,28.35,32.97,Lunch
Cantaloupe,389,158,Vegetarian,None,88,45.04,45.71,12.56,Breakfast
Peas,269,384,Vegetarian,Gluten,71,35.65,93.48,23.91,Breakfast
Almond Milk,239,575,Vegetarian,Nuts,21,15.87,78.53,26.02,Breakfast
Oranges,312,633,Vegetarian,None,59,33.12,31.14,23.12,Breakfast
Raspberries,297,227,Vegetarian,Shellfish,27,34.58,5.68,26.02,Breakfast
Oranges,372,360,Vegetarian,Nuts,30,44.65,89.74,28.42,Snack
Apples,229,259,Vegetarian,Gluten,72,41.67,65.18,28.42,Snack
Honeydew,285,175,Vegetarian,Gluten,20,46.67,53.8,28.8,Dinner
Grapes,183,422,Vegetarian,None,53,14.59,65.18,18.81,Lunch
Nuts,453,536,Vegetarian,Nuts,92,37.8,87.67,45.32,Lunch
Sweet Potatoes,68,440,Vegetarian,None,90,45.04,28.35,29.3,Dinner
Carrot,174,158,Vegetarian,Nuts,21,22.55,28.35,23.98,Breakfast
Cantaloupe,154,384,Vegetarian,Dairy,32,35.08,87.68,40.03,Lunch
Coconut Milk,451,520,Vegetarian,Gluten,59,35.3,47.33,37.31,Breakfast
Pecans,174,622,Vegetarian,Gluten,44,21.08,39.41,6.62,Snack
Squash,385,169,Vegetarian,None,17,12.51,74.31,48.78,Breakfast
Tuna,372,472,Non-Vegetarian,Shellfish,32,25.05,61.15,35.73,Snack
Apples,66,616,Vegetarian,Gluten,29,11.94,61.17,37.31,Lunch
Chickpeas,285,230,Vegetarian,Dairy,82,8.68,88.15,15.34,Breakfast
Corn,207,284,Vegetarian,Dairy,78,45.04,37.96,47.79,Breakfast
Mutton,334,536,Non-Vegetarian,Shellfish,57,11.94,33.94,11.36,Dinner
Raspberries,269,612,Vegetarian,Shellfish,21,31.73,37.02,14.71,Breakfast
Lentils,231,361,Vegetarian,Shellfish,77,10.26,48.29,7.29,Breakfast
Chili Peppers,372,396,Vegetarian,Dairy,21,7.86,37.5,30.15,Snack
Seitan,405,615,Vegetarian,Gluten,53,39.18,56.73,28.6,Snack
Brazil Nuts,124,384,Vegetarian,Shellfish,38,19.11,93.48,19.42,Lunch
Peaches,266,92,Vegetarian,None,44,25.05,56.73,28.6,Snack
Bananas,403,287,Vegetarian,None,88,39.32,99.26,18.81,Lunch
Grapes,281,259,Vegetarian,None,82,16.23,56.39,25.01,Snack
Chili Peppers,162,440,Vegetarian,Nuts,59,19.19,37.52,17.28,Breakfast
Shrimp,230,306,Non-Vegetarian,Gluten,52,27.45,61.17,7.68,Snack
Sweet Potatoes,419,650,Vegetarian,Gluten,88,24.11,89.74,11.36,Lunch
Nuts,253,224,Vegetarian,None,24,1.6,37.52,23.91,Dinner
Cheese,406,662,Vegetarian,Gluten,24,20.98,35.38,1.4,Dinner
Scallions,174,516,Vegetarian,Shellfish,21,5.23,94.85,12.56,Dinner
Pumpkin,340,422,Vegetarian,Nuts,59,19.64,33.94,48.78,Lunch
Apples,178,96,Vegetarian,Dairy,10,27.65,22.12,23.91,Breakfast
Pork,192,238,Non-Vegetarian,Gluten,54,35.95,35.38,23.12,Breakfast
Blueberries,403,284,Vegetarian,Dairy,75,46.26,43.46,12.56,Snack
Parsnips,428,318,Vegetarian,None,59,12.51,37.02,47.47,Breakfast
Spinach,198,445,Vegetarian,Dairy,88,37.93,24.51,19.06,Dinner
Sweet Potatoes,340,430,Vegetarian,Gluten,98,20.98,61.17,14.17,Lunch
Coconut Milk,193,284,Vegetarian,None,72,35.65,77.52,0.89,Lunch
Sweet Potatoes,269,384,Vegetarian,None,59,19.83,78.04,0.89,Snack
Broccoli,236,575,Vegetarian,None,90,37.8,35.73,23.31,Lunch
Honeydew,428,416,Vegetarian,Shellfish,82,5.73,39.41,31.39,Breakfast
Pork,340,133,Non-Vegetarian,Shellfish,82,21.52,56.39,38.81,Breakfast
Oat Milk,59,117,Vegetarian,Dairy,27,32.79,79.59,29.08,Breakfast
Barley,428,650,Vegetarian,Gluten,59,15.91,73.93,42.88,Lunch
Pistachios,147,670,Vegetarian,None,64,5.73,37.02,12.26,Snack
Mango,283,144,Vegetarian,Dairy,57,47.53,32.79,10.49,Breakfast
Soy Milk,245,227,Vegetarian,Dairy,48,19.19,22.12,42.7,Breakfast
Papaya,467,469,Vegetarian,Shellfish,54,16.23,64.65,10.61,Dinner
Blackberries,340,230,Vegetarian,None,11,37.93,45.53,35.88,Lunch
Pumpkin,389,671,Vegetarian,Dairy,54,45.04,87.26,48.05,Dinner
Sweet Potatoes,216,371,Vegetarian,Shellfish,95,21.52,94.85,10.93,Breakfast
Oat,92,361,Vegetarian,None,23,11.2,22.28,12.56,Breakfast
Blueberries,160,399,Vegetarian,Nuts,23,8.68,56.73,25.01,Snack
Butter,206,514,Vegetarian,Shellfish,66,12.51,34.29,38.93,Breakfast
Cantaloupe,222,626,Vegetarian,None,63,7.86,89.42,33.06,Snack
Tomatoes,124,96,Vegetarian,Nuts,32,34.25,41.39,7.29,Breakfast
Onions,92,513,Vegetarian,Gluten,12,44.47,32.79,47.05,Lunch
Chicken,174,169,Non-Vegetarian,Nuts,10,19.83,61.67,12.26,Lunch
Spinach,311,238,Vegetarian,Shellfish,77,45.04,37.96,48.78,Lunch
Blueberries,71,536,Vegetarian,Shellfish,90,15.22,92.11,37.72,Dinner
Mutton,394,399,Non-Vegetarian,Nuts,67,41.16,93.7,14.52,Dinner
Corn,406,575,Vegetarian,Dairy,24,37.93,78.88,16.02,Snack
Quinoa,447,469,Vegetarian,Shellfish,37,35.65,99.26,45.92,Snack
Peaches,266,224,Vegetarian,Shellfish,59,44.63,74.31,47.05,Dinner
Egg,340,445,Non-Vegetarian,Shellfish,41,7.86,34.29,12.69,Breakfast
Soy Milk,342,445,Vegetarian,Dairy,48,47.53,33.94,23.98,Breakfast
Zucchini,372,422,Vegetarian,Nuts,29,24.52,92.11,46.22,Breakfast
Nuts,340,156,Vegetarian,Nuts,88,5.73,33.94,23.98,Dinner
Walnuts,340,532,Vegetarian,Shellfish,92,24.11,2.07,1.84,Breakfast
Peas,68,175,Vegetarian,Shellfish,22,12.51,92.79,35.73,Lunch
Mushrooms,162,234,Vegetarian,Dairy,97,32.79,78.02,1.18,Breakfast
Tomatoes,364,284,Vegetarian,Dairy,49,22.55,77.52,49.9,Breakfast
Carrot,428,158,Vegetarian,None,67,19.76,90.1,46.22,Dinner
Cantaloupe,178,399,Vegetarian,Nuts,29,41.67,41.39,45.32,Breakfast
Grapes,160,662,Vegetarian,Dairy,32,24.52,37.5,31.39,Dinner
Mutton,192,384,Non-Vegetarian,Gluten,88,39.32,61.67,25.01,Dinner
Chickpeas,245,318,Vegetarian,Nuts,57,44.47,21.8,35.88,Breakfast
Parsnips,147,570,Vegetarian,Nuts,59,32.06,73.3,17.28,Breakfast
Turkey,174,650,Non-Vegetarian,Shellfish,71,12.89,92.79,0.6,Breakfast
Scallions,192,92,Vegetarian,Shellfish,29,39.32,8.9,27.36,Snack
Spinach,133,92,Vegetarian,Nuts,82,19.19,99.09,17.28,Snack
Bananas,312,619,Vegetarian,Shellfish,77,3.45,89.42,38.93,Breakfast
Peas,217,520,Vegetarian,Gluten,63,10.84,47.67,19.8,Dinner
Wheat,160,360,Vegetarian,Gluten,64,48.14,87.26,7.29,Lunch
Honeydew,138,533,Vegetarian,None,24,35.95,61.15,20.59,Snack
Sweet Potatoes,124,622,Vegetarian,Nuts,27,22.58,65.18,11.66,Breakfast
Oat Milk,294,396,Vegetarian,Shellfish,38,9.38,8.77,12.56,Lunch
Walnuts,311,532,Vegetarian,Shellfish,54,44.65,94.85,38.93,Lunch
Apples,174,536,Vegetarian,Dairy,24,1.06,80.47,42.7,Snack
Bananas,59,536,Vegetarian,Gluten,18,22.55,76.46,29.3,Snack
Salmon,403,86,Non-Vegetarian,Gluten,98,18.93,89.42,17.93,Breakfast
Pistachios,449,520,Vegetarian,Nuts,63,32.79,78.53,46.9,Dinner
Pecans,142,147,Vegetarian,None,12,2.1,37.52,17.93,Snack
Radishes,178,459,Vegetarian,Shellfish,48,19.11,45.53,15.34,Dinner
Yams,462,288,Vegetarian,None,87,3.29,50.43,16.68,Lunch
Broccoli,318,562,Vegetarian,Dairy,95,3.99,53.8,1.84,Breakfast
Blueberries,174,86,Vegetarian,Gluten,23,25.15,45.45,10.61,Breakfast
Seitan,364,361,Vegetarian,None,44,30.55,15.47,3.1,Breakfast
Watermelon,264,633,Vegetarian,Nuts,88,25.15,31.62,48.05,Breakfast
Carrot,198,692,Vegetarian,Nuts,52,38.21,88.15,1.4,Snack
Leeks,453,514,Vegetarian,Dairy,59,46.67,45.71,12.48,Lunch
Pineapple,385,213,Vegetarian,None,87,41.54,61.22,38.81,Snack
Lamb,132,147,Non-Vegetarian,Gluten,21,5.23,15.2,29.3,Dinner
Lentils,263,570,Vegetarian,Dairy,87,3.56,73.12,32.24,Breakfast
Jalapenos,231,512,Vegetarian,None,86,37.93,89.74,47.05,Snack
Hazelnuts,138,512,Vegetarian,Dairy,38,19.11,73.12,26.44,Snack
Lentils,421,584,Vegetarian,None,55,44.47,96.08,28.8,Dinner
Pistachios,162,217,Vegetarian,None,75,8.48,93.7,49.9,Dinner
Peaches,428,459,Vegetarian,Shellfish,59,15.22,76.46,12.56,Snack
Cashews,253,530,Vegetarian,Dairy,59,2.1,45.45,30.15,Lunch
Jalapenos,133,637,Vegetarian,Shellfish,59,16.71,37.5,35.73,Snack
Lamb,183,612,Non-Vegetarian,None,38,19.76,28.31,30.15,Lunch
Cauliflower,463,664,Vegetarian,Dairy,64,34.7,87.26,26.02,Snack
Chicken,283,416,Non-Vegetarian,Dairy,87,25.03,69.92,23.31,Lunch
Mushrooms,285,637,Vegetarian,Gluten,75,32.89,99.09,13.39,Breakfast
Carrot,430,557,Vegetarian,Gluten,47,11.2,8.9,37.72,Snack
Rice,463,371,Vegetarian,Gluten,72,2.1,70.21,14.71,Breakfast
Seitan,266,239,Vegetarian,Gluten,95,19.11,18.2,20.59,Breakfast
Jalapenos,217,224,Vegetarian,Nuts,38,1.06,85.88,17.28,Breakfast
Squash,222,677,Vegetarian,Shellfish,75,20.98,46.24,19.06,Breakfast
Bananas,147,556,Vegetarian,Shellfish,82,41.67,88.15,23.98,Lunch
Potatoes,174,536,Vegetarian,Shellfish,77,39.18,15.47,16.68,Breakfast
Oat Milk,174,575,Vegetarian,None,78,8.48,76.48,19.8,Lunch
Oat,281,616,Vegetarian,Gluten,94,35.65,37.52,44.12,Dinner
Papaya,419,217,Vegetarian,Gluten,15,10.84,56.39,12.36,Lunch
Honeydew,230,671,Vegetarian,None,66,48.14,41.39,33.47,Breakfast
Brazil Nuts,327,230,Vegetarian,Gluten,50,15.22,43.46,35.73,Breakfast
Hazelnuts,327,612,Vegetarian,Gluten,24,33.96,47.67,28.6,Dinner
Grapes,372,536,Vegetarian,None,48,15.96,64.65,47.79,Breakfast
Barley,281,606,Vegetarian,None,12,41.67,87.67,12.84,Lunch
Lentils,281,619,Vegetarian,Gluten,27,8.68,88.15,12.26,Breakfast
Kiwi,389,396,Vegetarian,None,55,9.36,94.85,3.1,Snack
Cantaloupe,372,472,Vegetarian,Shellfish,99,38.21,75.85,25.63,Dinner
Pineapple,67,520,Vegetarian,None,71,3.51,55.33,22.65,Dinner
Soy Milk,174,582,Vegetarian,Shellfish,82,37.93,35.38,33.47,Snack
Carrot,405,369,Vegetarian,Dairy,49,35.65,78.04,40.03,Breakfast
Radishes,385,584,Vegetarian,Shellfish,98,5.73,53.8,12.56,Snack
Beetroot,162,622,Vegetarian,Nuts,63,11.89,77.52,13.39,Dinner
Seitan,419,582,Vegetarian,Shellfish,58,32.61,90.1,33.06,Lunch
Bananas,385,315,Vegetarian,Nuts,64,15.87,46.24,47.47,Dinner
Potatoes,178,117,Vegetarian,Shellfish,27,10.84,54.96,6.62,Snack
Cauliflower,229,692,Vegetarian,Nuts,19,10.84,78.88,12.69,Breakfast
Broccoli,334,692,Vegetarian,Dairy,61,19.19,24.51,24.78,Breakfast
Papaya,183,520,Vegetarian,None,95,11.94,67.69,38.93,Snack
Pistachios,207,133,Vegetarian,Gluten,21,45.45,37.02,16.68,Lunch
Macadamia,174,96,Vegetarian,Shellfish,79,26.11,45.45,29.3,Breakfast
Mutton,67,612,Non-Vegetarian,Dairy,63,26.11,70.43,23.31,Lunch
Beans,453,360,Vegetarian,Shellfish,59,25.03,61.15,10.61,Breakfast
Corn,229,284,Vegetarian,Dairy,10,31.73,93.48,46.22,Snack
Chickpeas,98,430,Vegetarian,None,72,19.11,22.28,37.31,Breakfast
Coconut Milk,174,430,Vegetarian,Nuts,63,34.7,61.15,32.97,Dinner
Carrot,462,287,Vegetarian,Gluten,32,3.29,45.45,23.51,Snack
Leeks,442,284,Vegetarian,Shellfish,17,19.11,47.33,28.42,Breakfast
Brazil Nuts,162,664,Vegetarian,Gluten,75,30.55,87.26,48.05,Lunch
Bananas,427,301,Vegetarian,Shellfish,23,15.22,64.62,40.94,Breakfast
Sweet Potatoes,334,459,Vegetarian,Nuts,29,32.06,73.3,29.08,Lunch
Corn,231,168,Vegetarian,Nuts,75,43.4,96.73,0.6,Breakfast
Rice,168,536,Vegetarian,Nuts,96,45.45,15.47,23.91,Snack
Pumpkin,239,301,Vegetarian,Nuts,72,40.52,56.39,14.71,Lunch
Butter,311,575,Vegetarian,None,48,41.54,45.53,20.59,Dinner
Walnuts,467,414,Vegetarian,Nuts,93,35.3,90.92,12.69,Breakfast
Strawberries,174,396,Vegetarian,Gluten,59,15.22,55.33,12.36,Breakfast
Sweet Potatoes,206,416,Vegetarian,Nuts,64,19.76,75.85,38.93,Breakfast
Potatoes,66,615,Vegetarian,Nuts,12,37.93,90.1,23.98,Breakfast
Raspberries,67,239,Vegetarian,Dairy,71,25.15,0.56,6.62,Dinner
Kale,222,416,Vegetarian,Nuts,96,19.19,99.09,12.26,Snack
Papaya,76,301,Vegetarian,Shellfish,49,46.53,64.62,17.28,Dinner
Coconut Milk,231,662,Vegetarian,Nuts,32,12.51,24.51,27.36,Breakfast
Walnuts,213,213,Vegetarian,None,19,6.23,15.47,1.18,Dinner
Cherries,372,239,Vegetarian,Dairy,21,25.33,55.32,37.72,Lunch
Walnuts,178,384,Vegetarian,Shellfish,67,16.94,43.46,23.12,Dinner
Oat,67,369,Vegetarian,Gluten,59,30.68,87.67,29.08,Breakfast
Salmon,92,575,Non-Vegetarian,None,71,45.45,78.04,42.88,Snack
Honeydew,132,459,Vegetarian,None,61,27.45,61.17,20.19,Dinner
Soy Milk,162,175,Vegetarian,Dairy,99,35.95,61.15,11.66,Lunch
Watermelon,421,92,Vegetarian,None,21,34.58,48.29,11.36,Breakfast
Carrot,430,513,Vegetarian,Dairy,23,41.16,61.15,33.47,Breakfast
Oranges,311,369,Vegetarian,Dairy,21,44.65,26.59,10.93,Snack
Grapes,59,234,Vegetarian,Shellfish,21,24.52,76.46,23.98,Lunch
Pork,98,54,Non-Vegetarian,Shellfish,47,35.95,89.42,7.68,Snack
Radishes,160,582,Vegetarian,Shellfish,43,38.21,94.85,40.03,Breakfast
Cucumber,193,169,Vegetarian,None,88,16.94,45.71,6.62,Breakfast
Milk,405,384,Vegetarian,None,38,20.98,37.52,38.81,Snack
Macadamia,70,54,Vegetarian,Nuts,95,38.21,33.94,29.3,Snack
Coconut Milk,340,243,Vegetarian,None,78,41.64,44.23,19.06,Lunch
Oranges,193,416,Vegetarian,Gluten,37,33.12,26.59,12.26,Snack
Nectarines,364,662,Vegetarian,None,94,16.94,56.39,42.7,Dinner
Lamb,449,213,Non-Vegetarian,Gluten,59,25.05,90.92,33.06,Dinner
Oat Milk,462,54,Vegetarian,Shellfish,37,2.68,77.52,32.24,Lunch
Chicken,312,575,Non-Vegetarian,Dairy,64,38.21,39.41,32.97,Breakfast
Barley,59,619,Vegetarian,None,90,28.89,45.53,10.49,Lunch
Peaches,67,617,Vegetarian,Shellfish,59,44.47,31.62,12.69,Breakfast
Pork,202,284,Non-Vegetarian,Gluten,82,35.61,56.73,15.34,Dinner
Bell Peppers,236,175,Vegetarian,None,58,18.93,64.62,38.38,Lunch
Mushrooms,285,288,Vegetarian,Gluten,38,2.68,39.41,42.7,Lunch
Grapes,230,622,Vegetarian,None,29,19.11,44.23,32.33,Lunch
Spinach,269,416,Vegetarian,Nuts,63,3.56,21.8,10.49,Lunch
Quinoa,311,616,Vegetarian,Dairy,59,24.52,94.85,30.15,Breakfast
Bell Peppers,213,369,Vegetarian,Gluten,22,41.64,47.67,42.7,Breakfast
Yams,217,435,Vegetarian,Dairy,22,3.99,35.38,25.01,Snack
Beef,394,288,Non-Vegetarian,Nuts,12,5.73,78.02,45.32,Lunch
Jalapenos,206,422,Vegetarian,None,92,41.67,61.15,15.52,Dinner
Radishes,266,287,Vegetarian,None,43,7.86,20.3,26.02,Dinner
Soy Milk,342,514,Vegetarian,Dairy,92,5.23,35.38,16.02,Breakfast
Potatoes,312,637,Vegetarian,Nuts,48,37.93,54.96,25.63,Snack
Yams,461,556,Vegetarian,Nuts,72,48.14,37.52,37.31,Breakfast
Mutton,192,650,Non-Vegetarian,Dairy,10,25.15,93.48,10.49,Breakfast
Nuts,202,513,Vegetarian,Shellfish,19,11.2,45.45,27.13,Snack
Chili Peppers,397,637,Vegetarian,Gluten,69,19.11,28.35,29.08,Dinner
Salmon,397,612,Non-Vegetarian,Gluten,96,10.26,31.62,30.15,Snack
Cream,283,422,Vegetarian,Gluten,82,25.05,70.21,17.93,Breakfast
Cream,222,213,Vegetarian,Nuts,24,2.68,78.53,44.12,Breakfast
Blackberries,71,472,Vegetarian,None,41,15.96,45.79,37.31,Lunch
Macadamia,239,570,Vegetarian,Shellfish,20,32.79,90.92,47.79,Breakfast
Potatoes,430,156,Vegetarian,Dairy,71,33.13,87.67,44.12,Dinner
Carrot,447,133,Vegetarian,Shellfish,77,19.83,42.27,48.78,Lunch
Cheese,269,562,Vegetarian,Shellfish,24,26.11,93.48,12.26,Snack
Oat,333,556,Vegetarian,Gluten,82,39.18,67.69,47.47,Breakfast
Wheat,285,375,Vegetarian,None,27,15.91,54.96,27.13,Breakfast
Tempeh,174,692,Vegetarian,Gluten,19,19.83,37.96,15.34,Lunch
Peanuts,160,325,Vegetarian,Gluten,30,25.15,75.85,27.13,Snack
Blueberries,327,234,Vegetarian,Shellfish,79,30.68,90.92,0.6,Lunch
Soy Milk,427,315,Vegetarian,Gluten,15,32.79,26.59,7.68,Breakfast
Broccoli,428,133,Vegetarian,Gluten,12,34.58,50.43,19.06,Breakfast
Peanuts,94,416,Vegetarian,Gluten,94,2.68,70.43,12.84,Breakfast
Turnips,419,536,Vegetarian,Gluten,38,38.21,15.47,27.13,Dinner
Parsnips,269,671,Vegetarian,Nuts,10,45.45,45.71,40.94,Snack
Raspberries,193,179,Vegetarian,Dairy,77,35.61,99.09,45.92,Breakfast
Milk,181,156,Vegetarian,None,27,40.52,67.69,16.33,Lunch
Nuts,192,692,Vegetarian,Gluten,59,12.89,31.14,46.9,Snack
Mango,372,617,Vegetarian,Nuts,21,11.89,78.88,46.9,Dinner
Cheese,285,626,Vegetarian,Nuts,88,48.14,85.88,40.94,Dinner
Strawberries,372,637,Vegetarian,Gluten,52,19.64,69.92,0.42,Snack
Brazil Nuts,87,470,Vegetarian,Dairy,94,19.64,31.14,32.24,Lunch
